timestamp,density,num_cars,spawn_prob,min_gap,actual_vehicle_count,target_vehicle_count
1769249313.4219155,MEDIUM,,,,2,6
1769249314.4258494,MEDIUM,,,,2,6
1769249315.449276,MEDIUM,,,,2,6
1769249316.469428,MEDIUM,,,,2,6
1769249317.4892004,MEDIUM,,,,2,6
1769249318.4942727,MEDIUM,,,,2,6
1769249319.5180705,MEDIUM,,,,2,6
1769249320.5360224,MEDIUM,,,,2,6
1769249321.5590522,MEDIUM,,,,2,6
1769249322.5825403,MEDIUM,,,,2,6
1769249323.6092136,MEDIUM,,,,2,6
1769249324.612383,MEDIUM,,,,2,6
1769249325.6131222,MEDIUM,,,,2,6
1769249326.615094,MEDIUM,,,,2,6
1769249327.6179702,MEDIUM,,,,2,6
1769249328.623052,MEDIUM,,,,2,6
1769249329.624414,MEDIUM,,,,2,6
1769249330.625543,MEDIUM,,,,2,6
1769249331.648219,MEDIUM,,,,2,6
1769249332.673105,MEDIUM,,,,2,6
1769249333.696667,MEDIUM,,,,2,6
1769249334.6996918,MEDIUM,,,,2,6
1769249335.7019546,MEDIUM,,,,2,6
1769249336.7039683,MEDIUM,,,,2,6
1769249337.7297838,MEDIUM,,,,2,6
1769249338.730327,MEDIUM,,,,1,6
1769249339.7524376,MEDIUM,,,,1,6
1769249340.761773,MEDIUM,,,,2,6
1769249341.764437,MEDIUM,,,,2,6
1769249342.78966,MEDIUM,,,,2,6
1769249343.7909708,MEDIUM,,,,2,6
1769249344.7921176,MEDIUM,,,,2,6
1769249345.7939112,MEDIUM,,,,2,6
1769249346.7949727,MEDIUM,,,,2,6
1769249347.7951612,MEDIUM,,,,2,6
1769249348.7954218,MEDIUM,,,,2,6
1769249349.8211007,MEDIUM,,,,1,6
1769249350.8443742,MEDIUM,,,,2,6
1769249351.8650851,MEDIUM,,,,2,6
1769249352.8907013,MEDIUM,,,,2,6
1769249353.9142647,MEDIUM,,,,2,6
1769249354.9365807,MEDIUM,,,,2,6
1769249355.961855,MEDIUM,,,,2,6
1769249356.9647396,MEDIUM,,,,2,6
1769249357.9866421,MEDIUM,,,,2,6
1769249359.012177,MEDIUM,,,,2,6
1769249360.0321696,MEDIUM,,,,2,6
1769249361.052797,MEDIUM,,,,2,6
1769249362.057638,MEDIUM,,,,2,6
1769249363.0812888,MEDIUM,,,,1,6
1769249364.082923,MEDIUM,,,,1,6
1769249365.1047127,MEDIUM,,,,1,6
1769249366.1307573,MEDIUM,,,,1,6
1769249367.1364732,MEDIUM,,,,2,6
1769249368.1569993,MEDIUM,,,,2,6
1769249369.1651404,MEDIUM,,,,2,6
1769249370.1665778,MEDIUM,,,,2,6
1769249371.1908922,MEDIUM,,,,2,6
1769249372.2141988,MEDIUM,,,,2,6
1769249373.2169452,MEDIUM,,,,2,6
1769249374.2417707,MEDIUM,,,,2,6
1769249375.259032,MEDIUM,,,,2,6
1769249376.2669408,MEDIUM,,,,2,6
1769249377.268109,MEDIUM,,,,2,6
1769249378.2773638,MEDIUM,,,,2,6
1769249379.2797403,MEDIUM,,,,2,6
1769249380.2841413,MEDIUM,,,,2,6
1769249381.3099954,MEDIUM,,,,2,6
1769249382.312738,MEDIUM,,,,2,6
1769249383.337229,MEDIUM,,,,2,6
1769249384.3398957,MEDIUM,,,,2,6
1769249385.3411639,MEDIUM,,,,2,6
1769249386.343893,MEDIUM,,,,2,6
1769249387.3704047,MEDIUM,,,,2,6
1769249388.372365,MEDIUM,,,,2,6
1769249389.396372,MEDIUM,,,,2,6
1769249390.3983727,MEDIUM,,,,2,6
1769249391.421251,MEDIUM,,,,2,6
1769249392.42137,MEDIUM,,,,2,6
1769249393.4222586,MEDIUM,,,,2,6
1769249394.4462657,MEDIUM,,,,2,6
1769249395.447704,MEDIUM,,,,2,6
1769249396.4524674,MEDIUM,,,,2,6
1769249397.453572,MEDIUM,,,,2,6
1769249398.4542928,MEDIUM,,,,2,6
